Year,Month,Day,Sensor,Technician,Runs,Site,MakeNotesFile,MakeTableFile,CheckSum
2025,8,7,GOBI,Tech,1,York_F,True,True,61938221.0
2025,9,23,GOBI,Tech,1,York_F,True,True,17988734.0
2025,10,14,GOBI,Tech,1,York_F,True,True,77201374.0
